epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.08313,1.90272,3.50014,1.67824,0.01,0.75,0.00903,0.00841,0.25495,3.09958,0.9098,0,0,0
2,5.95643,1.38495,4.10863,1.25164,0.01,0.75,0.00923,0.00864,0.2482,3.09875,0.90935,1.835e-05,1.835e-05,1.835e-05
3,8.50116,2.05914,4.46424,1.80692,0.01333,1,0.01336,0.01256,0.23885,3.09816,0.90766,3.34e-05,3.34e-05,3.34e-05
4,11.0382,1.39503,4.30329,1.22666,0.01333,1,0.01502,0.01231,0.2609,3.09734,0.90645,4.515e-05,4.515e-05,4.515e-05
5,13.6026,1.58309,3.81775,1.48496,0.01333,1,0.01785,0.01316,0.31415,3.11683,0.90867,5.36e-05,5.36e-05,5.36e-05
6,16.1226,1.0074,3.46038,1.21064,0.01333,1,0.02261,0.0172,0.37157,3.12398,0.91376,5.875e-05,5.875e-05,5.875e-05
7,18.5311,0.98704,3.30327,1.15358,0.01333,1,0.02636,0.02134,0.42856,3.12579,0.91662,6.06e-05,6.06e-05,6.06e-05
8,20.962,0.75156,3.01977,1.06136,0.01333,1,0.02884,0.02118,0.43176,3.13083,0.92075,5.915e-05,5.915e-05,5.915e-05
9,23.5857,0.94136,2.64188,1.14606,0.01333,1,0.03038,0.02062,0.43651,3.13469,0.9205,5.44e-05,5.44e-05,5.44e-05
10,26.3017,0.84608,3.02971,1.0912,0.01333,1,0.03109,0.02057,0.44169,3.13649,0.91905,4.635e-05,4.635e-05,4.635e-05
11,28.9423,0.98546,2.98109,1.29224,0.01333,1,0.03109,0.01852,0.43329,3.13757,0.91654,3.5e-05,3.5e-05,3.5e-05
12,31.4586,0.92929,2.52766,1.08918,0.01333,1,0.03109,0.01842,0.42639,3.13687,0.91476,2.035e-05,2.035e-05,2.035e-05
