epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7263,2.00395,2.91176,1.75157,0,0,0,0,0,32.9093,0,0.0937,0.0007,0.0007
2,35.3561,1.85095,2.13149,1.58068,0,0,0,0,0,30.6149,0,0.0864959,0.0014959,0.0014959
3,51.7481,1.8812,1.95658,1.60895,0,0,0,0,0,51.6844,0,0.0792749,0.00227489,0.00227489
4,69.4903,1.71508,1.8566,1.58354,0,0,0,0,0,67.2348,0,0.0720242,0.00302421,0.00302421
5,87.4936,1.724,1.59936,1.50705,0,0,0,0,0,99.75,0,0.0647316,0.00373158,0.00373158
6,105.453,1.84175,1.6026,1.54796,0,0,0,0,0,627.774,0,0.0573855,0.00438547,0.00438547
7,122.975,1.77497,1.66955,1.60976,0,0,0,0,0,34.7249,0,0.0499753,0.00497532,0.00497532
8,140.469,1.58888,1.6381,1.49935,0,0,0,0,0,362.351,0,0.0424917,0.00549172,0.00549172
9,169.318,1.60451,1.5359,1.4738,0,0,0,0,0,1601.79,0,0.0349266,0.00592659,0.00592659
10,200.745,1.66869,1.56707,1.48071,0,0,0,0,0,711.689,0,0.0272734,0.00627338,0.00627338
11,230.751,1.56657,1.46414,1.44951,0,0,0,0,0,560.828,0,0.0195272,0.00652718,0.00652718
12,261.224,1.6153,1.40375,1.39073,0,0,0,0,0,304.65,0,0.0116848,0.00668482,0.00668482
13,291.822,1.52583,1.41558,1.37367,0,0,0,0,0,122.562,0,0.00654854,0.00654854,0.00654854
14,314.455,1.55596,1.40345,1.38019,0,0,0,0,0,65.7303,0,0.00604352,0.00604352,0.00604352
15,331.986,1.52324,1.35083,1.37866,0,0,0,0,0,61.9318,0,0.00552712,0.00552712,0.00552712
16,349.465,1.60164,1.79964,1.51066,0,0,0,0,0,85.3516,0,0.005005,0.005005,0.005005
17,367.111,1.51221,1.67825,1.42227,0,0,0,0,0,79.9637,0,0.00448288,0.00448288,0.00448288
18,385.409,1.35957,1.45081,1.33134,0,0,0,0,0,63.7653,0,0.00396648,0.00396648,0.00396648
19,404.144,1.34689,1.30192,1.31431,0,0,0,0,0,40.0304,0,0.00346146,0.00346146,0.00346146
20,422.097,1.38315,1.33153,1.3536,0,0,0,0,0,39.2553,0,0.00297335,0.00297335,0.00297335
21,440.073,1.24537,1.24422,1.30672,0,0,0,0,0,39.0748,0,0.0025075,0.0025075,0.0025075
22,458.459,1.25751,1.2282,1.24774,0,0,0,0,0,35.0738,0,0.00206901,0.00206901,0.00206901
23,477.501,1.17555,1.18441,1.21981,0,0,0,0,0,27.3279,0,0.00166269,0.00166269,0.00166269
24,495.623,1.26374,1.25116,1.31858,0,0,0,0,0,21.6877,0,0.00129299,0.00129299,0.00129299
25,512.969,1.18755,1.14979,1.24807,0,0,0,0,0,17.5931,0,0.00096396,0.00096396,0.00096396
26,529.997,1.15533,1.11074,1.2007,0,0,0,0,0,14.8649,0,0.000679203,0.000679203,0.000679203
27,547.759,1.17311,1.12141,1.21495,0,0,0,0,0,12.1659,0,0.00044184,0.00044184,0.00044184
28,565.032,1.15241,1.07973,1.2029,0,0,0,0,0,10.6975,0,0.000254473,0.000254473,0.000254473
29,582.075,1.16631,1.0929,1.21792,0,0,0,0,0,9.05331,0,0.000119153,0.000119153,0.000119153
30,599.682,1.20888,1.11086,1.23629,0,0,0,0,0,7.77176,0,3.73631e-05,3.73631e-05,3.73631e-05
