epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.758,1.82223,3.08674,1.7878,0,0,0,0,6.73002,6.69903,12.9167,0.0919,0.0009,0.0009
2,161.527,1.737,2.19943,1.66775,0,0,0,0,6.86889,226.744,14.2006,0.0828995,0.00189953,0.00189953
3,228.818,1.74249,2.07613,1.63735,0,0,0,0,6.53498,362.648,12.2527,0.0738971,0.00289714,0.00289714
4,320.17,1.73928,1.78023,1.67859,0,0,0,0,5.95403,206.3,9.48485,0.0648914,0.00389135,0.00389135
5,440.066,1.8022,1.88847,1.65128,0,0,0,0,6.76195,2599.28,15.5871,0.0558807,0.0048807,0.0048807
6,557.916,1.82813,1.82529,1.69444,0,0,0,0,6.69295,824.33,13.839,0.0468637,0.00586372,0.00586372
7,676.251,1.63631,1.60631,1.63265,0,0,0,0,6.47503,693.762,10.0146,0.037839,0.00683895,0.00683895
8,796.379,1.67552,1.76228,1.67082,0,0,0,0,5.77223,283.604,8.75751,0.028805,0.00780497,0.00780497
9,881.176,1.70109,1.64971,1.672,0,0,0,0,5.56654,142.008,8.7308,0.0197603,0.00876033,0.00876033
10,938.005,1.8158,1.93835,1.7447,0,0,0,0,5.61822,218.218,7.99698,0.0107037,0.00970365,0.00970365
11,994.864,1.8229,1.76232,1.734,0,0,0,0,5.63883,376.025,7.8375,0.00975553,0.00975553,0.00975553
12,1053.55,1.79089,1.73443,1.71013,0,0,0,0,6.01869,475.233,6.8081,0.0097047,0.0097047,0.0097047
13,1132.68,1.73884,1.63195,1.64573,0,0,0,0,6.0094,231.276,6.21428,0.00964923,0.00964923,0.00964923
14,1252.21,1.61367,1.51031,1.57834,0,0,0,0,5.76255,68.2096,6.97054,0.00958918,0.00958918,0.00958918
15,1346.76,1.58405,1.46697,1.59821,0,0,0,0,5.80237,56.8326,6.51628,0.00952461,0.00952461,0.00952461
